V1,V2,V3
-90,23.5,-1484
-89.9285714285714,23.5,-1256
-89.8571428571429,23.5,-380
-89.7857142857143,23.5,-290
-89.7142857142857,23.5,-261
-89.6428571428571,23.5,-248
-89.5714285714286,23.5,-243
-89.5,23.5,-243
-89.4285714285714,23.5,-242
-89.3571428571429,23.5,-239
-89.2857142857143,23.5,-230
-89.2142857142857,23.5,-203
-89.1428571428571,23.5,-90
-89.0714285714286,23.5,-88
-89,23.5,-97
-88.9285714285714,23.5,-68
-88.8571428571429,23.5,-52
-88.7857142857143,23.5,-48
-88.7142857142857,23.5,-63
-88.6428571428571,23.5,-83
-88.5714285714286,23.5,-84
-88.5,23.5,-87
-90,23.4285714285714,-673
-89.9285714285714,23.4285714285714,-568
-89.8571428571429,23.4285714285714,-277
-89.7857142857143,23.4285714285714,-256
-89.7142857142857,23.4285714285714,-242
-89.6428571428571,23.4285714285714,-234
-89.5714285714286,23.4285714285714,-229
-89.5,23.4285714285714,-228
-89.4285714285714,23.4285714285714,-225
-89.3571428571429,23.4285714285714,-219
-89.2857142857143,23.4285714285714,-206
-89.2142857142857,23.4285714285714,-155
-89.1428571428571,23.4285714285714,-94
-89.0714285714286,23.4285714285714,-101
-89,23.4285714285714,-95
-88.9285714285714,23.4285714285714,-68
-88.8571428571429,23.4285714285714,-46
-88.7857142857143,23.4285714285714,-74
-88.7142857142857,23.4285714285714,-72
-88.6428571428571,23.4285714285714,-86
-88.5714285714286,23.4285714285714,-80
-88.5,23.4285714285714,-83
-90,23.3571428571429,-505
-89.9285714285714,23.3571428571429,-312
-89.8571428571429,23.3571428571429,-248
-89.7857142857143,23.3571428571429,-236
-89.7142857142857,23.3571428571429,-226
-89.6428571428571,23.3571428571429,-220
-89.5714285714286,23.3571428571429,-215
-89.5,23.3571428571429,-207
-89.4285714285714,23.3571428571429,-202
-89.3571428571429,23.3571428571429,-220
-89.2857142857143,23.3571428571429,-195
-89.2142857142857,23.3571428571429,-156
-89.1428571428571,23.3571428571429,-132
-89.0714285714286,23.3571428571429,-111
-89,23.3571428571429,-96
-88.9285714285714,23.3571428571429,-80
-88.8571428571429,23.3571428571429,-77
-88.7857142857143,23.3571428571429,-44
-88.7142857142857,23.3571428571429,-39
-88.6428571428571,23.3571428571429,-71
-88.5714285714286,23.3571428571429,-84
-88.5,23.3571428571429,-117
-90,23.2857142857143,-424
-89.9285714285714,23.2857142857143,-260
-89.8571428571429,23.2857142857143,-231
-89.7857142857143,23.2857142857143,-216
-89.7142857142857,23.2857142857143,-200
-89.6428571428571,23.2857142857143,-182
-89.5714285714286,23.2857142857143,-191
-89.5,23.2857142857143,-178
-89.4285714285714,23.2857142857143,-169
-89.3571428571429,23.2857142857143,-216
-89.2857142857143,23.2857142857143,-202
-89.2142857142857,23.2857142857143,-143
-89.1428571428571,23.2857142857143,-129
-89.0714285714286,23.2857142857143,-111
-89,23.2857142857143,-98
-88.9285714285714,23.2857142857143,-87
-88.8571428571429,23.2857142857143,-84
-88.7857142857143,23.2857142857143,-40
-88.7142857142857,23.2857142857143,-30
-88.6428571428571,23.2857142857143,-52
-88.5714285714286,23.2857142857143,-90
-88.5,23.2857142857143,-117
-90,23.2142857142857,-333
-89.9285714285714,23.2142857142857,-237
-89.8571428571429,23.2142857142857,-210
-89.7857142857143,23.2142857142857,-190
-89.7142857142857,23.2142857142857,-177
-89.6428571428571,23.2142857142857,-161
-89.5714285714286,23.2142857142857,-174
-89.5,23.2142857142857,-167
-89.4285714285714,23.2142857142857,-165
-89.3571428571429,23.2142857142857,-169
-89.2857142857143,23.2142857142857,-162
-89.2142857142857,23.2142857142857,-134
-89.1428571428571,23.2142857142857,-118
-89.0714285714286,23.2142857142857,-106
-89,23.2142857142857,-96
-88.9285714285714,23.2142857142857,-75
-88.8571428571429,23.2142857142857,-79
