a,b,ida,idb,nSites,J9,J8,J7,J6,J5,J4,J3,J2,J1,rab,Fa,Fb,theta,inbred_relatedness_1_2,inbred_relatedness_2_1,fraternity,identity,zygosity,2of3_IDB,F_diff_a_b,loglh,nIter,bestoptimll,coverage,2dsfs,R0,R1,KING,2dsfs_loglike,2dsfsf_niter
0,89,mx_001.trim.unal.bt2.bam,mx_107.trim.unal.bt2.bam,4178,0.879734,0.000001,0,0.000005,0,0.120249,0,0.000011,0,0,0.12026,0.000016,0,0,0,0.000011,0,0.000011,0.060139,0.060122,-4876.177631,74,-1,0.404806,"4.979891e-01,1.764179e-01,2.076484e-02,1.404676e-01,8.635393e-02,1.082488e-02,3.870927e-02,2.107707e-02,7.395395e-03",0.688725,0.211516,-0.062502,-5488.727182,23
0,90,mx_001.trim.unal.bt2.bam,mx_109.trim.unal.bt2.bam,3356,0.888267,0,0,0.001319,0,0.000219,0,0.110195,0,0,0.110414,0.111514,0,0,0,0.110195,0,0.110195,0.110964,-0.00055,-4014.792554,131,-1,0.325162,"5.032111e-01,1.411878e-01,4.738574e-02,1.480368e-01,7.989175e-02,1.597067e-02,3.556217e-02,2.055742e-02,8.196523e-03",1.038254,0.195477,-0.177132,-4471.35457,26
0,91,mx_001.trim.unal.bt2.bam,mx_112.trim.unal.bt2.bam,6906,0.916489,0.000021,0,0,0,0.083488,0,0,0.000001,0.000012,0.08349,0.000002,0.000007,0.000001,0.000001,0,0.000001,0.000002,0.041756,0.041744,-8450.545595,58,-1,0.669121,"4.877293e-01,1.808750e-01,2.034935e-02,1.393039e-01,9.820111e-02,1.243811e-02,3.232574e-02,2.562710e-02,3.150352e-03",0.5364,0.238979,-0.012889,-9528.565465,22
0,92,mx_001.trim.unal.bt2.bam,mx_114.trim.unal.bt2.bam,9853,0.889183,0,0,0.030588,0,0.057976,0,0.022253,0,0,0.080229,0.052841,0,0,0,0.022253,0,0.022253,0.066535,0.013694,-13206.93145,146,-1,0.954656,"4.989346e-01,1.567482e-01,3.362801e-02,1.517122e-01,7.942871e-02,1.834621e-02,3.116531e-02,2.307986e-02,6.956826e-03",0.815742,0.191542,-0.098592,-14912.47811,10
0,93,mx_001.trim.unal.bt2.bam,mx_115.trim.unal.bt2.bam,9868,0.862115,0,0,0.055763,0,0.066193,0,0.015928,0.000001,0.000001,0.082122,0.071692,0.000001,0.000001,0.000001,0.015928,0.000001,0.015929,0.076907,0.005215,-13143.68222,70,-1,0.956109,"5.053088e-01,1.532984e-01,3.128002e-02,1.530857e-01,7.476081e-02,2.043235e-02,3.372602e-02,2.066700e-02,7.440917e-03",0.86952,0.181243,-0.111168,-14833.03598,10
0,94,mx_001.trim.unal.bt2.bam,mx_119.trim.unal.bt2.bam,9212,0.919606,0,0,0.000016,0,0.08032,0,0.000058,0,0,0.080379,0.000074,0,0,0,0.000058,0,0.000058,0.040226,0.040152,-11862.22135,54,-1,0.892549,"4.923380e-01,1.709853e-01,2.639370e-02,1.480813e-01,8.549444e-02,1.558655e-02,3.307653e-02,2.293839e-02,5.105779e-03",0.695604,0.204992,-0.063275,-13434.80418,14
0,95,mx_001.trim.unal.bt2.bam,mx_121.trim.unal.bt2.bam,5581,0.836469,0.000012,0,0.080347,0,0.083067,0,0.0001,0.000005,0.000011,0.083172,0.080452,0.000008,0.000005,0.000005,0.0001,0.000005,0.000105,0.081818,0.00136,-6806.114857,99,-1,0.540742,"5.085299e-01,1.531437e-01,2.944192e-02,1.528653e-01,7.171109e-02,2.369105e-02,3.445625e-02,2.091842e-02,5.242356e-03",0.89105,0.172999,-0.113524,-7656.959524,18
0,96,mx_001.trim.unal.bt2.bam,mx_123.trim.unal.bt2.bam,4680,0.910263,0,0.000001,0.000004,0.000003,0.089659,0,0.000068,0.000001,0.000004,0.089728,0.000076,0.000003,0.000001,0.000002,0.000069,0.000001,0.00007,0.044905,0.044828,-5595.464114,82,-1,0.453444,"4.752997e-01,1.872756e-01,2.797203e-02,1.406029e-01,9.728032e-02,8.634597e-03,3.128659e-02,2.369920e-02,7.949053e-03",0.609153,0.231912,-0.03828,-6321.574368,27
1,2,mx_002.trim.unal.bt2.bam,mx_003.trim.unal.bt2.bam,8580,0.80827,0,0,0.04008,0,0.149977,0,0.001672,0.000001,0.000001,0.151651,0.041753,0.000001,0.000001,0.000001,0.001672,0.000001,0.001673,0.096702,0.054949,-11093.04677,114,-1,0.831315,"4.872199e-01,1.507451e-01,3.059675e-02,1.561513e-01,7.270128e-02,1.755696e-02,4.809391e-02,3.021430e-02,6.720520e-03",1.082383,0.167763,-0.169336,-12379.72267,18
1,3,mx_002.trim.unal.bt2.bam,mx_004.trim.unal.bt2.bam,3863,0.286844,0.539114,0.000422,0,0.01,0.131605,0.032014,0,0,0.30149,0.16362,0.01,0.155997,0.016007,0.005,0.000422,0,0.000422,0.377796,0.065803,-4610.895459,206,-1,0.374285,"5.083232e-01,1.540631e-01,4.138559e-03,1.108230e-01,1.114116e-01,2.297607e-02,2.189768e-02,4.471132e-02,2.165537e-02",0.233694,0.310677,0.106841,-4972.258795,75
