sample,lat,lon,collectionDate,collectionDepth,depthZone,depthZoneM,site,C3-C21-C3fc-C3an-C65b-C3b-C3bb,C3-C21-C3an-C3fc-C3gz-C3b-C3bb,C3-C3de-C21-C3bb-C3an-C21ae-C65b-C3s,C3-C3fc-C21-C3b-C3an-C3fd-C3bb,C3-C3de-C3bb-C21ae-C21-C3an-C3s,C3-C3an-C3de-C21-C3bb-C3fc-C3b,C3-C21-C3gu-C3gy-C3gw-C3gx-C3gv-C3b,C3an/C3-C21-C3bb,C3-C3fc-C40g-C3b-C3an-C21-C3fd-C3s-C3bb,C3/C3b,G3b,G3am
MX045,22.51127,-89.79737,18.07.19,9.90990991,Shallow,10,Alacranes,0,20026,0,0,0,0,0,0,0,0,0,0
MX046,22.51127,-89.79737,18.07.19,16.51651652,Shallow,15,Alacranes,0,10359,0,0,0,0,0,0,0,0,0,0
MX047,22.51127,-89.79737,18.07.19,16.81681682,Shallow,15,Alacranes,0,17767,0,0,0,0,0,0,0,0,0,0
MX048,22.51127,-89.79737,18.07.19,16.21621622,Shallow,15,Alacranes,0,0,0,0,6923,0,0,0,0,0,0,0
MX049,22.51127,-89.79737,18.07.19,15.31531532,Shallow,15,Alacranes,0,0,0,0,0,14263,0,0,0,0,0,0
MX050,22.51127,-89.79737,18.07.19,15.61561562,Shallow,15,Alacranes,0,0,11353,0,0,0,0,0,0,0,0,0
MX051,22.58667,-89.75208,19.07.19,33.93393393,Mesophotic,35,Alacranes,13799,0,0,0,0,0,0,0,0,0,0,0
MX052,22.58667,-89.75208,19.07.19,35.73573574,Mesophotic,35,Alacranes,0,0,0,0,0,0,2982,0,0,0,0,0
MX053,22.58667,-89.75208,19.07.19,36.33633634,Mesophotic,35,Alacranes,0,0,0,0,0,0,5494,0,0,0,0,0
MX054,22.58667,-89.75208,19.07.19,36.93693694,Mesophotic,35,Alacranes,0,0,0,0,0,0,3771,0,0,0,0,0
