sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
mx_076.trim.bt2.sam	44	2	5	3255	0	78	2	5	4429	0	0.98272	0.000	0.001	0.998	0.000
mx_077.trim.bt2.sam	196	1	6	9833	3	1727	1	8	31087	10	0.94740	0.000	0.000	0.999	0.000
mx_078.trim.bt2.sam	213	1	4	11796	5	1893	1	8	74023	27	0.97508	0.000	0.000	1.000	0.000
mx_079.trim.bt2.sam	170	1	3	7202	3	952	1	4	16596	7	0.94579	0.000	0.000	0.999	0.000
mx_080.trim.bt2.sam	192	1	4	10055	3	1569	2	10	43570	21	0.96527	0.000	0.000	0.999	0.000
mx_081.trim.bt2.sam	185	1	3	9984	5	1226	1	4	28663	12	0.95900	0.000	0.000	0.999	0.000
mx_082.trim.bt2.sam	136	1	2	8205	3	488	1	3	21200	5	0.97751	0.000	0.000	1.000	0.000
mx_083.trim.bt2.sam	137	1	3	6779	3	696	1	3	14154	8	0.95317	0.000	0.000	0.999	0.001
mx_084.trim.bt2.sam	117	0	2	6666	4	270	0	2	12512	7	0.97889	0.000	0.000	0.999	0.001
mx_085.trim.bt2.sam	139	1	1	4619	3	473	2	1	7447	10	0.94038	0.000	0.000	0.998	0.001
mx_087.trim.bt2.sam	61	0	0	369	1	90	0	0	384	1	0.81053	0.000	0.000	0.997	0.003
mx_089.trim.bt2.sam	186	3	4	8615	3	1190	10	10	19231	11	0.94181	0.001	0.001	0.998	0.001
mx_090.trim.bt2.sam	131	1	1	8121	4	462	1	3	18671	12	0.97587	0.000	0.000	0.999	0.001
mx_091.trim.bt2.sam	65	1	1	5543	2	126	2	1	9951	3	0.98750	0.000	0.000	0.999	0.000
mx_092.trim.bt2.sam	89	0	0	3175	2	217	0	0	4181	3	0.95069	0.000	0.000	0.999	0.001
mx_093.trim.bt2.sam	106	0	0	1373	0	292	0	0	1581	0	0.84410	0.000	0.000	1.000	0.000
mx_095.trim.bt2.sam	52	0	0	3563	1	95	0	0	5401	4	0.98273	0.000	0.000	0.999	0.001
mx_096.trim.bt2.sam	17	0	0	1355	1	19	0	0	2077	1	0.99094	0.000	0.000	1.000	0.000
